,number_of_cohort,count,count_binary,exact_count,proportion,exact_proportion
amnesia,5312,241,1,905,0.045368976,0.170368976
anorexia,5312,55,1,129,0.010353916,0.024284639
anxiety,5312,1023,1,14012,0.192582831,2.637801205
aphrenia,5312,70,1,1152,0.013177711,0.21686747
apnoea,5312,878,1,11836,0.165286145,2.228162651
atrial Fibrillation,5312,385,1,13936,0.07247741,2.623493976
cancer,5312,21,1,67,0.003953313,0.012612952
circadian Clock Disruption,5312,17,1,42,0.003200301,0.007906627
depression,5312,176,1,583,0.03313253,0.109751506
dysphagia,5312,386,1,2270,0.072665663,0.427334337
elevated Blood Pressure,5312,272,1,866,0.051204819,0.163027108
falls,5312,154,1,396,0.028990964,0.074548193
frontotemporal Dementia,5312,4,1,21,0.000753012,0.003953313
hallucinations,5312,34,1,130,0.006400602,0.024472892
hearing Loss,5312,763,1,5021,0.143637048,0.945218374
heart Failure,5312,435,1,13801,0.08189006,2.598079819
hyperglycaemia,5312,582,1,4937,0.109563253,0.929405121
hypertension,5312,2488,1,60482,0.468373494,11.38591867
hyperthyroidism,5312,72,1,697,0.013554217,0.131212349
hypothyroidism,5312,749,1,14272,0.141001506,2.686746988
ischaemia,5312,113,1,487,0.02127259,0.091679217
kidney Disease,5312,558,1,22672,0.105045181,4.268072289
memory Loss,5312,111,1,376,0.020896084,0.070783133
obesity,5312,1223,1,13028,0.230233434,2.452560241
Parkinsons Disease,5312,45,1,1177,0.008471386,0.221573795
parkinsonism,5312,7,1,19,0.001317771,0.003576807
seizures,5312,98,1,1762,0.018448795,0.331701807
sleep Disorder,5312,1225,1,15623,0.23060994,2.941076807
atherosclerosis,5312,558,1,5573,0.105045181,1.049134036
osteoporosis,5312,930,1,8773,0.175075301,1.651543675
vascular Disease,5312,275,1,2930,0.051769578,0.551581325
fractures,5312,155,1,1123,0.029179217,0.211408133
glaucoma,5312,522,1,8256,0.098268072,1.554216867
osteoporosis,5312,930,1,8773,0.175075301,1.651543675
Alzheimers Disease,5312,24,1,176,0.004518072,0.03313253
cognitive Impairment,5312,94,1,645,0.017695783,0.121423193
dementia,5312,70,1,1152,0.013177711,0.21686747